,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,15790000000.0,8469000000.0,,,,18809000000.0,,,,,,,
2025-03-31,,,,,,,,,1.07,1.07,,,,,,,,,,,,,,,,,
2025-06-30,3672000000.0,3672000000.0,773000000.0,637000000.0,1962000000.0,2494000000.0,663000000.0,663000000.0,0.91,0.91,97807000000.0,29814000000.0,61246000000.0,23439000000.0,,,3346000000.0,33054000000.0,6375000000.0,,806000000.0,-2553000000.0,2433000000.0,-1512000000.0,-2318000000.0,-914000000.0,3084000000.0
2025-09-30,3207000000.0,3207000000.0,723000000.0,887000000.0,1428000000.0,2004000000.0,846000000.0,846000000.0,1.17,1.17,96204000000.0,26489000000.0,58535000000.0,20301000000.0,,,3054000000.0,34005000000.0,6188000000.0,,2244000000.0,-2303000000.0,-47000000.0,-102000000.0,-2346000000.0,-2693000000.0,2646000000.0
2025-12-31,4363000000.0,4363000000.0,2744000000.0,-950000000.0,-903000000.0,273000000.0,831000000.0,831000000.0,,,101717000000.0,34333000000.0,60153000000.0,22929000000.0,17009000000.0,6450000000.0,7734000000.0,34381000000.0,11404000000.0,23173000000.0,3969000000.0,-2358000000.0,3099000000.0,1553000000.0,-2416000000.0,2076000000.0,-2006000000.0
2026-03-31,4291000000.0,4291000000.0,1729000000.0,-139000000.0,1199000000.0,1844000000.0,20000000.0,20000000.0,0.03,0.03,116765000000.0,45607000000.0,73944000000.0,36242000000.0,,,6861000000.0,35284000000.0,9365000000.0,,-1558000000.0,-3022000000.0,3740000000.0,-4146000000.0,-2588000000.0,-1900000000.0,5714000000.0
2026-06-30,3337000000.0,3337000000.0,853000000.0,1377000000.0,2315000000.0,2978000000.0,1537000000.0,1537000000.0,2.16,2.16,115729000000.0,41554000000.0,68123000000.0,30819000000.0,,,6106000000.0,39620000000.0,10735000000.0,25228000000.0,1489000000.0,-5081000000.0,2783000000.0,-1282000000.0,-2771000000.0,-1441000000.0,899000000.0
