,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow
2024-12-31,92906000.0,92906000.0,48264000.0,1115000.0,1299000.0,4407000.0,3451000.0,3451000.0,,,363762000.0,178555000.0,165327000.0,85259000.0,67174000.0,40789000.0,8987000.0,198435000.0,93296000.0,69698000.0,21769000.0,-6856000.0,-3551000.0,9299000.0
2025-03-31,69503000.0,69503000.0,42119000.0,-2904000.0,-2954000.0,128000.0,-4420000.0,-4420000.0,-0.11,-0.11,353165000.0,177963000.0,168146000.0,88891000.0,67874000.0,38190000.0,13559000.0,185019000.0,89072000.0,65895000.0,3113000.0,1489000.0,-500000.0,3113000.0
2025-06-30,84896000.0,84896000.0,44996000.0,721000.0,3778000.0,6942000.0,1561000.0,1561000.0,0.04,0.04,349235000.0,169757000.0,159461000.0,87757000.0,66325000.0,43179000.0,7671000.0,189774000.0,82000000.0,67457000.0,-855000.0,-1920000.0,-4163000.0,-5121000.0
2025-09-30,91880000.0,91880000.0,46479000.0,2379000.0,2401000.0,5509000.0,-375000.0,-375000.0,-0.01,-0.01,347515000.0,167442000.0,155727000.0,94839000.0,51682000.0,26799000.0,9875000.0,191788000.0,72603000.0,68452000.0,21361000.0,-3484000.0,-16106000.0,25627000.0
2025-12-31,88257000.0,88257000.0,45428000.0,2602000.0,3116000.0,6256000.0,-1353000.0,-1353000.0,,,340012000.0,159183000.0,146345000.0,93789000.0,43816000.0,16544000.0,12756000.0,193667000.0,65394000.0,65730000.0,15099000.0,-738000.0,-10967000.0,6306000.0
