,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,30870000.0,30870000.0,24729000.0,187000.0,447000.0,1644000.0,154000.0,154000.0,0.01,0.01,165637000.0,115168000.0,80389000.0,56950000.0,20398000.0,23188000.0,85248000.0,58218000.0,72497000.0,3212000.0,-109000.0,-1004000.0,3212000.0
2025-06-30,33451000.0,33451000.0,26845000.0,824000.0,1038000.0,2235000.0,571000.0,571000.0,0.033023,0.033023,165026000.0,115282000.0,83118000.0,59975000.0,20185000.0,20626000.0,81908000.0,55307000.0,,2999000.0,-103000.0,-5458000.0,2999000.0
2025-09-30,38394000.0,38394000.0,31576000.0,5523000.0,5655000.0,6533000.0,3758000.0,3758000.0,0.21734,0.21734,164021000.0,116320000.0,78305000.0,55593000.0,19799000.0,30543000.0,85716000.0,60727000.0,,10761000.0,-231000.0,-613000.0,10761000.0
2025-12-31,48714000.0,48714000.0,38288000.0,12441000.0,12190000.0,13707000.0,8832000.0,8832000.0,,,179026000.0,131337000.0,84166000.0,62691000.0,19522000.0,44066000.0,94860000.0,68646000.0,,14223000.0,-86000.0,-614000.0,12828000.0
2026-03-31,35037000.0,35037000.0,29009000.0,1537000.0,1774000.0,2962000.0,1086000.0,1086000.0,0.06,0.06,190170000.0,143362000.0,95804000.0,74338000.0,19066000.0,46848000.0,94366000.0,69024000.0,81867000.0,5342000.0,20000.0,-2610000.0,5342000.0
