,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure
2024-12-31,477142000.0,477142000.0,185057000.0,30843000.0,29094000.0,50272000.0,28392000.0,28392000.0,,,1823692000.0,1078929000.0,1171414000.0,718481000.0,610446000.0,171439000.0,311900000.0,632459000.0,360448000.0,522694000.0,96183000.0,-23514000.0,29007000.0,77599000.0,-18584000.0
2025-03-31,385446000.0,385446000.0,70103000.0,25645000.0,29440000.0,48751000.0,20083000.0,20083000.0,0.33,0.32,1718510000.0,971572000.0,1049740000.0,620888000.0,,,208146000.0,648902000.0,350684000.0,542777000.0,2771000.0,-16698000.0,-92227000.0,-14592000.0,-17363000.0
2025-06-30,395703000.0,395703000.0,37173000.0,-19276000.0,79616000.0,98381000.0,68810000.0,68810000.0,1.12,1.09,1806356000.0,946363000.0,1118073000.0,736691000.0,,,193502000.0,673149000.0,209672000.0,574732000.0,13514000.0,-19392000.0,-6693000.0,-1229000.0,-14743000.0
2025-12-31,425350000.0,425350000.0,213388000.0,36225000.0,29512000.0,47072000.0,30330000.0,30330000.0,,,1787077000.0,953195000.0,1040950000.0,685897000.0,527045000.0,155010000.0,259402000.0,741551000.0,267298000.0,626949000.0,117951000.0,-17930000.0,-24222000.0,99149000.0,-18802000.0
2026-03-31,363749000.0,363749000.0,55134000.0,11886000.0,22093000.0,40777000.0,14021000.0,14021000.0,0.22,0.22,1757467000.0,953809000.0,1011185000.0,673515000.0,,,200939000.0,746125000.0,280294000.0,640970000.0,-9139000.0,-10820000.0,-43040000.0,-23121000.0,-13982000.0
